IDADE,CIDADE_ORIGEM,IDADE_INGRESSO,ESCOLA_FUNDAMENTAL,ESTADO_CIVIL,CURSO,SEXO,TIPO_ESCOLA_ANTERIOR,1ANOFALTA,Evadiu,ETNIA,TIPO_CONCOMITANCIA,Forma_Ingresso,1CONCEITO,Cidade,N_FILHOS
12,0,3,214,0,1,1,1,0.2857142857142857,0,3,0,1,2,42,3
11,1,2,38,0,8,1,1,1.4166666666666667,0,3,0,1,2,2,3
10,1,1,78,0,8,1,1,1.1538461538461535,0,3,0,1,2,2,3
12,1,3,20,0,2,1,1,3.5384615384615383,0,3,0,1,2,2,3
10,1,1,78,0,2,1,1,1.3571428571428572,0,3,0,1,2,2,3
12,1,3,144,0,8,1,2,6.357142857142858,0,3,0,1,4,2,3
10,1,1,216,0,2,0,2,1.7142857142857142,0,3,0,1,2,2,3
12,1,3,213,0,7,1,1,2.333333333333333,0,3,0,1,2,2,3
12,1,3,82,0,2,1,1,2.4545454545454546,0,3,0,1,1,2,3
10,1,1,32,0,7,0,1,1.0833333333333333,0,3,0,1,1,2,3
11,1,2,83,0,7,1,1,1.25,0,3,0,1,2,2,3
11,1,2,80,0,8,1,1,0.7692307692307693,0,3,0,1,2,2,3
10,1,1,87,0,0,0,1,2.363636363636364,0,3,0,1,1,2,3
11,1,2,13,0,0,1,1,3.0769230769230766,0,3,0,1,1,2,3
11,1,2,190,0,4,1,2,17.285714285714285,1,3,0,1,4,2,3
10,0,1,78,0,4,1,1,1.818181818181818,0,3,0,1,2,12,3
10,1,1,199,0,8,1,1,2.6666666666666665,0,3,0,1,2,2,3
12,1,3,91,0,8,1,1,5.090909090909091,1,3,0,1,4,2,3
10,1,1,89,0,10,0,1,1.9090909090909087,0,3,0,1,1,2,3
10,1,1,199,0,2,0,1,38.0,1,3,0,1,5,2,3
10,1,1,12,0,7,1,1,3.4285714285714284,1,3,0,1,3,2,3
11,1,2,14,0,2,1,1,6.142857142857142,0,3,0,1,3,2,3
11,1,2,189,0,1,1,2,2.75,0,3,0,1,2,2,3
11,1,2,216,0,10,1,2,2.0,0,3,0,1,2,2,3
12,1,3,80,0,7,1,1,1.2307692307692308,0,3,0,1,1,2,3
11,1,2,134,0,1,1,2,2.066666666666667,0,3,0,1,2,2,3
10,1,1,32,0,0,0,1,1.1,0,3,0,1,1,2,3
11,1,2,78,0,10,0,1,1.2857142857142858,0,3,0,1,1,2,3
11,1,2,87,0,8,0,1,1.25,0,3,0,1,2,2,3
10,1,1,189,0,0,1,2,1.4666666666666666,1,3,0,1,2,2,3
11,1,2,58,0,2,1,1,2.0,0,3,0,1,2,2,3
10,1,1,189,0,2,1,2,2.9,0,3,0,1,2,2,3
10,0,1,173,0,2,1,2,1.2307692307692308,0,3,0,1,3,12,3
11,1,2,53,0,1,1,1,2.4285714285714284,0,3,0,1,2,2,3
11,1,2,33,0,0,1,1,0.6666666666666666,0,3,0,1,1,2,3
11,1,2,12,0,10,0,1,0.5714285714285714,0,3,0,1,1,2,3
11,0,2,11,0,2,1,1,0.7272727272727273,0,3,0,1,1,47,3
11,1,2,12,0,8,1,1,0.5333333333333333,0,3,0,1,2,2,3
12,0,3,207,0,1,1,1,1.2857142857142858,0,3,0,1,2,12,3
11,1,2,76,0,0,1,1,2.0769230769230766,0,3,0,1,1,2,3
10,1,1,32,0,0,1,1,2.0,0,3,0,1,2,2,3
10,0,1,94,0,7,1,1,0.15384615384615385,0,3,0,1,1,25,3
11,0,2,224,0,8,1,1,0.9230769230769232,0,3,0,1,1,12,2
11,1,2,33,0,2,1,1,2.5454545454545454,0,3,0,1,2,2,3
11,1,2,32,0,10,0,1,49.84615384615386,1,3,0,1,5,2,3
11,1,2,209,0,2,1,1,3.0,0,3,0,1,2,2,3
11,0,2,81,0,1,1,1,2.6153846153846154,0,3,0,1,2,12,3
11,1,2,50,0,1,1,1,0.2857142857142857,0,3,0,1,2,2,3
10,0,1,186,0,2,1,2,4.636363636363637,0,3,0,1,1,27,3
10,1,1,140,0,2,1,2,1.1333333333333333,0,3,0,1,2,2,3
10,0,1,46,0,0,0,1,3.0769230769230766,0,3,0,1,1,47,1
11,0,2,206,0,1,1,1,1.9285714285714288,1,3,0,1,2,12,3
10,1,1,78,0,2,1,1,4.538461538461538,0,3,0,1,2,2,3
11,0,2,174,0,2,1,2,1.4285714285714286,0,3,0,1,2,12,3
10,1,1,49,0,0,1,1,3.533333333333333,0,3,0,1,2,2,3
10,0,1,210,0,2,0,1,1.4444444444444444,0,3,0,1,1,12,3
11,1,2,125,0,8,1,2,2.142857142857143,1,3,0,1,2,2,3
14,1,6,164,0,2,1,2,0.0,0,3,0,1,3,2,3
11,0,2,123,0,1,0,2,0.8666666666666667,0,3,0,1,1,12,3
11,1,2,29,0,2,1,1,1.3571428571428572,1,3,0,1,2,2,3
10,0,1,81,0,10,1,1,1.2857142857142858,0,3,0,1,2,12,3
10,0,1,173,0,1,1,2,1.1,1,3,0,1,4,12,3
11,1,2,209,0,7,1,1,1.4285714285714286,0,3,0,1,2,2,3
10,0,1,220,0,10,0,1,0.8461538461538461,0,3,0,1,1,42,3
10,0,1,19,0,1,1,1,3.2857142857142856,0,1,0,1,2,40,3
11,1,2,36,0,4,0,1,4.916666666666667,0,3,0,1,2,2,3
10,1,1,216,0,0,1,2,1.5,0,3,0,1,1,2,3
11,0,2,179,0,2,1,2,0.35714285714285715,0,3,0,1,2,12,3
12,0,3,175,0,0,1,2,1.5454545454545454,0,3,0,1,1,40,3
10,1,1,87,0,2,1,1,1.2142857142857142,0,3,0,1,2,2,3
11,1,2,123,0,10,0,2,1.6428571428571428,0,3,0,1,2,2,3
10,0,1,164,0,7,0,2,0.625,0,3,0,1,1,32,3
11,1,2,78,0,8,1,1,1.7692307692307692,0,3,0,1,3,2,3
11,1,2,202,0,8,1,1,1.0769230769230769,0,3,0,1,1,2,3
12,1,3,78,0,8,1,1,2.090909090909091,0,3,0,1,2,2,3
10,1,1,209,0,8,1,1,9.6,1,3,0,1,4,2,3
12,1,3,213,0,10,1,1,2.0,0,3,0,1,1,2,3
11,0,2,190,0,1,1,2,1.5454545454545454,0,3,0,1,2,3,3
12,0,3,128,0,0,0,2,5.333333333333333,1,3,0,1,2,50,3
10,0,1,210,0,2,1,1,1.8333333333333333,0,3,0,1,2,12,3
11,0,2,81,0,2,1,1,4.785714285714286,0,3,0,1,2,12,3
10,1,1,209,0,0,0,1,3.4,0,3,0,1,2,2,3
11,0,2,224,0,8,1,1,3.1538461538461537,0,3,0,1,2,12,3
10,0,1,179,0,4,1,2,1.9090909090909087,0,3,0,1,2,12,3
10,1,1,70,0,7,1,1,0.7272727272727273,0,3,0,1,1,2,3
11,1,2,58,0,2,1,1,3.6666666666666665,1,3,0,1,2,2,3
10,0,1,173,0,2,1,2,0.6428571428571429,0,3,0,1,2,12,3
11,1,2,77,0,2,1,1,0.7916666666666666,0,3,0,1,5,2,3
10,1,1,42,0,10,1,1,1.0,0,3,0,1,2,2,3
10,1,1,12,0,2,1,1,2.583333333333333,0,3,0,1,1,2,3
10,1,1,12,0,8,1,1,0.8,1,3,0,1,2,2,3
10,1,1,78,0,7,0,1,0.2,0,3,0,1,1,2,3
10,0,1,122,0,2,1,2,8.142857142857142,0,3,0,1,5,19,3
10,1,1,88,0,0,1,1,0.18181818181818185,0,3,0,1,1,2,3
11,1,2,53,0,4,1,1,2.5384615384615383,0,3,0,1,2,2,3
10,1,1,87,0,8,1,1,1.3076923076923077,0,3,0,1,2,2,3
11,1,2,189,0,0,0,2,3.5384615384615383,0,3,0,1,1,2,3
11,0,2,210,0,8,1,1,1.5,0,3,0,1,2,12,3
10,1,1,213,0,1,0,1,3.5,0,3,0,1,2,2,3
10,1,1,213,0,2,1,1,1.0666666666666669,1,3,0,1,2,2,3
11,1,2,12,0,7,1,1,1.5714285714285714,0,3,0,1,2,2,3
11,1,2,61,0,2,1,1,1.5384615384615383,1,3,0,1,3,2,3
10,1,1,134,0,8,1,2,1.8333333333333333,0,3,0,1,2,2,3
11,1,2,78,0,10,0,1,0.2,0,3,0,1,2,2,3
11,0,2,106,0,8,1,2,0.3636363636363637,0,3,0,1,2,8,3
11,1,2,12,0,1,1,1,3.2,0,3,0,1,2,2,1
11,1,2,89,0,8,1,1,0.15384615384615385,0,3,0,1,1,2,3
11,0,2,11,0,1,1,1,1.0,0,3,0,1,2,47,3
11,1,2,80,0,2,1,1,3.0,0,3,0,1,2,2,3
9,0,0,81,0,1,1,1,2.3076923076923075,0,3,0,1,1,12,3
11,0,2,78,0,10,0,1,0.7692307692307693,0,3,0,1,1,12,3
10,1,1,87,0,7,1,1,2.5384615384615383,0,3,0,1,2,2,3
10,0,1,224,0,2,1,1,0.4166666666666667,0,3,0,1,2,12,3
11,1,2,46,0,0,1,1,1.2,0,3,0,1,1,2,3
11,1,2,213,0,2,1,1,5.9,0,3,0,1,2,2,3
11,1,2,213,0,1,0,1,4.6923076923076925,0,3,0,1,2,2,3
10,0,1,73,0,2,1,1,0.6,0,3,0,1,2,12,3
12,1,3,58,0,8,1,1,4.666666666666667,0,3,0,1,2,2,3
10,0,1,58,0,10,0,1,0.42857142857142855,0,3,0,1,1,12,3
11,1,2,223,0,4,1,1,4.5,0,3,0,1,2,2,3
11,1,2,38,0,1,1,1,5.142857142857143,1,3,0,1,3,2,3
11,1,2,29,0,8,1,1,3.6666666666666665,0,3,0,1,2,2,3
10,0,1,214,0,1,0,1,4.6923076923076925,0,3,0,1,3,38,3
13,0,5,163,0,0,1,2,0.0,0,3,0,1,5,38,3
11,0,2,164,0,0,0,2,2.333333333333333,0,3,0,1,0,32,0
10,1,1,189,0,10,0,2,1.1428571428571428,0,3,0,1,1,2,3
10,0,1,190,0,0,0,2,2.6666666666666665,0,3,0,1,1,3,3
11,0,2,210,0,2,1,1,1.3846153846153846,0,3,0,1,2,12,3
10,1,1,81,0,1,0,1,4.214285714285714,0,3,0,1,2,2,3
12,1,3,80,0,0,1,1,3.0,0,3,0,1,1,2,3
11,0,2,201,0,2,0,1,1.4615384615384617,0,3,0,1,2,12,3
10,1,1,191,0,4,0,2,2.6,0,3,0,1,2,2,3
12,1,3,78,0,8,1,1,4.230769230769232,0,3,0,1,3,2,3
11,1,2,52,0,8,1,1,0.26666666666666666,0,3,0,1,1,2,3
10,0,1,216,0,1,1,2,1.2857142857142858,0,3,0,1,2,47,3
11,0,2,78,0,2,1,1,4.142857142857143,0,3,0,1,2,12,3
10,0,1,224,0,8,1,1,2.642857142857143,0,3,0,1,2,12,3
11,0,2,70,0,0,1,1,0.3636363636363637,0,3,0,1,5,12,3
11,1,2,81,0,2,1,1,3.1,0,3,0,1,2,2,3
10,1,1,126,0,2,1,2,12.615384615384615,1,3,0,1,5,2,3
10,0,1,224,0,2,1,1,1.5555555555555556,0,3,0,1,1,12,3
10,0,1,111,0,0,0,2,0.7272727272727273,0,3,0,1,1,52,3
12,0,3,224,0,2,1,1,3.2666666666666666,1,3,0,1,3,12,3
